,Blink_rate,Variability,Class
0,0.06775459981318761,1.0,0
1,0.0,0.9778628797648252,1
2,0.3259512119684916,0.7306281283259274,2
3,0.5818373150889136,0.5177290247826123,3
4,1.0,0.0,4
5,1.0,0.026006535053041024,0
6,0.24192422564046556,0.7813523596353944,1
7,0.7866796369410373,0.0,2
8,0.1727688092769873,0.5525873505745481,3
9,0.0,1.0,4
10,0.0,1.0,0
11,0.2121221711673992,0.6283039623098459,1
12,0.15429671287763902,0.7531385311263253,2
13,1.0,0.03505054867804099,3
14,0.9686555213337859,0.0,4
15,0.38262026923429016,0.5147278595429371,0
16,0.41155202521546497,0.3007671271167276,1
17,0.0,1.0,2
18,0.61998121770666,0.28031857267046567,3
19,1.0,0.0,4
20,1.0,0.0,0
21,0.5563538867980345,0.2963790555318152,1
22,0.2277287920402014,0.3625826223846717,2
23,0.0,1.0,3
24,0.5518750998826227,0.3553955212890657,4
25,0.0,1.0,0
26,0.42184980351749807,0.17022939266435996,1
27,0.7529611405144104,0.0,2
28,0.655952532022871,0.08014959492960279,3
29,1.0,0.041637402068883764,4
30,1.0,0.07753698675484608,0
31,0.0,1.0,1
32,0.3849270515295688,0.18273822647515292,2
33,0.4363358677753225,0.44906909579302434,3
34,0.8322692144146492,0.0,4
35,1.0,0.0,0
36,0.4485839922047752,0.46451685383561636,1
37,0.8422437006407307,0.13459265907319118,2
38,0.0,1.0,3
39,0.16686788317820994,0.6586063217881332,4
40,0.15440737193813073,0.24754018620581722,0
41,0.0,0.6306735382792517,1
42,0.5295284489553548,0.17153277498982689,2
43,0.12478134377062841,1.0,3
44,1.0,0.0,4
45,0.0,1.0,0
46,0.13251226353398166,0.6717138758008095,1
47,1.0,0.0,2
48,0.3799005194500992,0.30599242664169807,3
49,0.19018888838656967,0.4555440296919061,4
50,1.0,0.010746139006352583,0
51,0.9696205436189606,0.03374597331881267,1
52,0.9183921410855213,0.0,2
53,0.3920102968876497,0.2755636130420959,3
54,0.0,1.0,4
55,0.2144026340450226,0.448815708946213,0
56,0.18643153150321018,0.33802660340562657,1
57,0.12963742827808622,0.3878991854894014,2
58,1.0,0.0,3
59,0.0,1.0,4
60,0.1422474645706192,0.9288694111230886,0
61,0.0,1.0,1
62,0.5454803305169464,0.1877687181128607,2
63,1.0,0.0,3
64,0.8053146309029411,0.061030139105026145,4
65,0.0,0.6850051062857867,0
66,0.05048226971438293,0.3372889843162563,1
67,0.5900943661754889,0.0,2
68,1.0,0.3212981746592678,3
69,0.13229645430889525,1.0,4
70,0.014682462085811147,0.8719035109245729,0
71,0.0,1.0,1
72,0.3046337655785009,0.3544438097649775,2
73,1.0,0.0,3
74,0.7737414748151223,0.06126897507562434,4
75,0.0,0.9017934173239914,0
76,0.10801848980793723,1.0,1
77,0.2141470886448293,0.7196171795947024,2
78,0.7413657594263535,0.07335552392912617,3
79,1.0,0.0,4
80,0.3127154379860199,0.34870128845292964,0
81,1.0,0.0,1
82,0.7706564606165293,0.03361777545421143,2
83,0.0,1.0,3
84,0.38177540699798646,0.6640788866440419,4
85,0.0,0.9380139268985178,0
86,0.10698455198216107,1.0,1
87,1.0,0.0,2
88,0.21195716126718148,0.881802320837703,3
89,0.08383109106685424,0.8599243638759233,4
90,0.5015413559714308,1.0,0
91,0.9667209666441552,0.0,1
92,0.0,0.24386120516662912,2
93,0.3746069584932205,0.02119979836460526,3
94,1.0,0.13386492649996287,4
95,0.0,1.0,0
96,0.7388973624748431,0.010157995650445424,1
97,0.2043518814405159,0.6429321654593084,2
98,0.16889420960567034,0.5835703955553596,3
99,1.0,0.0,4
100,0.22870740603920905,0.7594574992369008,0
101,0.0,1.0,1
102,0.17658273599966395,0.5524725148803314,2
103,1.0,0.12134064392086254,3
104,0.9513486030107011,0.0,4
105,0.0,1.0,0
106,0.821118795942448,0.06335153951365517,1
107,0.6287561890517792,0.17616367398653182,2
108,0.8084950130222108,0.06365305287823878,3
109,1.0,0.0,4
110,0.0,1.0,0
111,0.04908064840386017,0.7874806857262919,1
112,0.4483178454058392,0.392795256623189,2
113,1.0,0.0,3
114,0.2670982668551462,0.7370695165550571,4
115,0.31189613350887635,0.8125615097478622,0
116,0.0,1.0,1
117,1.0,0.0,2
118,0.8782082963870903,0.30368299310938207,3
119,0.8129171011809991,0.2817102291426281,4
